,Entidade,Código,Ano,Conversão_líquida_de_floresta,Área_de_Floresta,Produção_Óleo,População
213,Azerbaijan,AZE,2010,9079.999999999998,0.025144058859469,11546.0,9054332
214,Montenegro,MNE,2010,0.0,0.0201397050180997,180.0,619428
215,Iraq,IRQ,2010,0.0,0.0200909995646097,19127.0,29741977
216,Iraq,IRQ,2000,700.0,0.0196726872721503,16568.0,23497589
217,Iraq,IRQ,1990,1400.0,0.0189782299449644,22043.0,17419113
218,Ireland,IRL,2010,6860.0,0.0175432172925498,9602.0,4560155
219,El Salvador,SLV,1990,-4500.0,0.0169689924662139,3697.0,5270074
220,Belgium,BEL,2010,-110.0000000000001,0.0168002155995604,699172.0,10895586
221,Tunisia,TUN,2010,1530.0000000000002,0.0167407949463026,245651.0,10635245
222,El Salvador,SLV,2000,-4500.0,0.0162066387517807,5912.0,5887930
223,Tunisia,TUN,2000,1960.0,0.0160616188199335,119192.0,9708347
224,El Salvador,SLV,2010,-4500.0,0.0153149427953839,3201.0,6183877
225,Tunisia,TUN,1990,2390.0,0.0152009224968225,168768.0,8242509
226,Ireland,IRL,2000,9000.0,0.0151599940695265,9646.0,3805174
227,Denmark,DNK,2010,7640.000000000002,0.0142826307086642,211626.0,5547683
228,Denmark,DNK,2000,1490.0,0.0137468313505637,158379.0,5339616
229,Jamaica,JAM,2010,3800.0,0.0135997802507349,10906.0,2810464
230,Denmark,DNK,1990,4020.0,0.012544515574567,133430.0,5140939
231,Jamaica,JAM,2000,3740.0,0.0125299145095236,6417.0,2654698
232,Jamaica,JAM,1990,-30.00000000000003,0.0123046911762575,14557.0,2419901
233,Mauritania,MRT,1990,-5439.999999999998,0.011236811670399,488.0,2034347
234,Ireland,IRL,1990,16869.999999999993,0.0108969030743698,9322.0,3513974
235,Mauritania,MRT,2000,-5439.999999999998,0.0101403323489357,593.0,2630217
236,Moldova,MDA,2010,2380.0,0.0091200961659955,87851.0,2861487
237,Netherlands,NLD,2010,-1729.9999999999995,0.0090952563847157,1247858.0,16615394
238,Mauritania,MRT,2010,-5439.999999999998,0.008943295369827,192.0,3494200
239,Netherlands,NLD,2000,1400.0,0.0086458815089707,1208814.0,15925513
240,Moldova,MDA,2000,3010.0,0.008282730435854,22461.0,2923783
241,Netherlands,NLD,1990,1420.0000000000002,0.0081514330185255,982597.0,14951510
242,Burundi,BDI,1990,-8250.0,0.0065262450437608,4900.0,5438959
243,Burundi,BDI,2010,17140.0,0.0047229678249217,16112.0,8675606
244,Burundi,BDI,2000,0.0,0.0046642065642553,3536.0,6378871
245,Sao Tome and Principe,STP,2010,-620.0,0.0014148934238834,4371.0,180372
246,Sao Tome and Principe,STP,2000,-30.0,0.0014035428229861,2423.0,142264
247,Sao Tome and Principe,STP,1990,-30.0,0.0013837112430022,825.0,119211
248,Mauritius,MUS,2000,-350.0,0.0010084055957472,131.0,1186873
249,Mauritius,MUS,1990,90.00000000000001,0.0009694476415916,135.0,1058775
250,Mauritius,MUS,2010,-20.000000000000004,0.0009349011797398,18.0,1250400
251,Singapore,SGP,2010,-250.0,0.0004320271135466,8076.0,5076732
252,Singapore,SGP,2000,69.99999999999999,0.0004091702504947,12189.0,4027887
253,Singapore,SGP,1990,220.0,0.0003499854696156,29818.0,3047132
254,Kuwait,KWT,2010,0.0,0.0001522045421561,660.0,2991884
255,Kuwait,KWT,2000,140.0,0.0001166412387162,413.0,2045123
256,Kuwait,KWT,1990,140.0,8.143643446533236e-05,323.0,2095350
257,Maldives,MDV,2010,0.0,1.9969235930884863e-05,151.0,365730
258,Maldives,MDV,2000,0.0,1.9720786752033365e-05,1447.0,279396
259,Maldives,MDV,1990,0.0,1.9355906162774645e-05,1224.0,223159
